TABLE IV. Relative intensities of beta+-delayed gamma rays from the beta+ decay of 34Ar.,,,,
Eg(keV),1974Ha26,1990En08,2020Ia02,Adopted
205,,<0.010,<0.013,<0.010
315,,<0.0018,<0.0086,<0.0018
461,0.365(36),,0.353(9),0.354(9)
519,,<0.010,0.029(10),0.0146(19)a
549,,,<0.0045,<0.0045
666,1,1,1,1
693,,<0.010,<0.0026,<0.0026
948,,<0.015,<0.0033,<0.0033
971,,<0.015,<0.0034,<0.0034
1242,,<0.010,<0.0056,<0.0056
1350,,<0.0034,<0.0041,<0.0034
1899,,<0.010,<0.0055,<0.0055
1915,,<0.0068,<0.0032,<0.0032
2119,,<0.0068,<0.0035,<0.0035
2434,,<0.0068,<0.0026,<0.0026
2464,,<0.015,<0.0027,<0.0027
2580,0.345(10),,0.338(8),0.341(6)
2668,,<0.010,<0.0029,<0.0029
2983,,<0.010,<0.0022,<0.0022
3129,0.521(12),,0.511(10),0.515(8)
